seed,n_clusters,n_samples,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1663447976,3,100,0.005,0.0022813177994434166,0.002291987339249146,0.2430205663561918,0.24570857035694194,0.6787522660498844,0.6834781521535288,0.21390692847409307,0.2146294933452455,0.6685604614985925,0.6729545338895738,8.647199305254016,423.7127659574468,49.0,0.0,"[321, 783, 1365, 1488, 2047, 2212, 2419, 3655, 3759, 3890, 4015, 4555, 4910, 5752, 6440, 6690, 6968, 7426, 7602, 7890, 9168, 10082, 10586, 11042, 11186, 12152, 12629, 13304, 14515, 17482, 18349, 18596, 18797, 19045, 19656, 20151, 20639, 21112, 21353, 21480, 21744, 21846, 22173, 22365, 22503, 22722, 23011, 23303, 23403, 23533, 23942, 24121, 24318, 24568, 24692, 24866, 24966, 25174, 25557, 25682, 25867, 26030, 26235, 26418, 26518, 26618, 26718, 26885, 27132, 28100, 29213, 29591, 29933, 30177, 30486, 30644, 30881, 31300, 31469, 31571, 31694, 32113, 32275, 32778, 33192, 34457, 35785, 37967, 38334, 38874, 39645, 40111, 40243, 40537, 40694, 41385, 41719, 42958, 43478, 44600, 44851, 46384, 47242, 48259, 48390, 48525, 48625, 48752, 48940, 49093, 49193, 49498, 49755, 50944, 51079, 51179, 51279, 51517, 51772, 51872, 52051, 52151, 52458, 52564, 52825, 52944, 53074, 53200, 53312, 53412, 53512, 54347, 54585, 55411, 55873, 56079, 57049, 57225, 57765, 58001, 58298, 58783, 59033, 59143, 59246, 59525, 59648, 59854, 60329, 60957, 61138, 62646, 63084, 64071, 64374, 64644, 64767, 67453, 71233, 71954, 72054, 72596, 73060, 73965, 74180, 74371, 74534, 75335, 75580, 75684, 75931, 76081, 76280, 76454, 76623, 76723, 76889, 76989, 77332, 77438, 77904, 78169, 78277, 78454, 78861, 79182, 79338, 79441, 79585, 79712, 79979]"
1663449129,3,250,0.05,0.02676835239940822,0.026400783480235876,0.2430205663561918,0.24570857035694194,0.6445458523473151,0.6417203225604801,0.21390692847409307,0.2146294933452455,0.6294699233083244,0.6271392167082467,57.14274691358025,6171.416666666667,108.0,0.0,"[3855, 23204, 23464, 25674, 26569, 26819, 49100, 49350, 52203, 53056, 53329, 53579, 75552, 76780, 77912]"
1663451015,3,250,0.005,0.040156279302369195,0.03859098580983934,0.2430205663561918,0.24570857035694194,0.6445833593798838,0.6316184284553353,0.21390692847409307,0.2146294933452455,0.6303841082605218,0.6180613303352697,60.53029460811562,7778.142857142857,128.5,0.0,"[23485, 26582, 26832, 49121, 49371, 53064, 53357, 53607, 76799, 77932]"
1663452928,3,500,0.05,0.050129711820966434,0.04828561605300993,0.2430205663561918,0.24570857035694194,0.6440582609239233,0.6319934987810214,0.21390692847409307,0.2146294933452455,0.6279447715170908,0.6184942740783814,52.54384236453202,10666.4,203.0,0.0,"[23469, 26592, 27092, 49244, 52481, 53246, 53746, 76801]"
1663455202,3,500,0.005,0.07980496343064324,0.07504657123210601,0.2430205663561918,0.24570857035694194,0.642045383509408,0.620941426517472,0.21390692847409307,0.2146294933452455,0.6264120587882734,0.6093611571059838,412.4461538461538,13404.5,32.5,0.0,"[26594, 27094, 49244, 53403, 53903]"
1663457554,3,1000,0.05,0.057489350681824265,0.054510220666374946,0.2430205663561918,0.24570857035694194,0.6454460211289617,0.6272801150215666,0.21390692847409307,0.2146294933452455,0.6309719072591181,0.6150093846824045,40.5174506828528,13350.5,329.5,0.0,"[23897, 26617, 27617, 50005, 52974, 53974, 77299]"
1663460743,3,1000,0.005,0.1004438332187285,0.09277989623054322,0.2430205663561918,0.24570857035694194,0.6447958992311058,0.6168281552791148,0.21390692847409307,0.2146294933452455,0.6300452465043976,0.6054454553069158,281.748427672956,22399.0,79.5,0.0,"[26649, 27649, 50048, 53442]"
1663464008,2,100,0.05,0.0009479991005938886,0.0009710426369432285,0.2430205663561918,0.24570857035694194,0.6781521535287867,0.6914171407138838,0.21390692847409307,0.2146294933452455,0.675477367415386,0.6884826137867232,5.381713900134953,174.90570175438597,32.5,0.0,"[199, 299, 455, 559, 694, 967, 1166, 1285, 1422, 1667, 2033, 2139, 2239, 2387, 2572, 2808, 2983, 3083, 3183, 3283, 3391, 3491, 3655, 3755, 3866, 4011, 4215, 4337, 4492, 4620, 4734, 4836, 4936, 5036, 5150, 5359, 5594, 5703, 5803, 5929, 6090, 6190, 6309, 6409, 6680, 6780, 6957, 7168, 7381, 7501, 7601, 7767, 7867, 8179, 8551, 8709, 8840, 9124, 9483, 9583, 9711, 10004, 10308, 10571, 10787, 11015, 11115, 11403, 11655, 11909, 12050, 12150, 12620, 12720, 13048, 13152, 13298, 13431, 13641, 13979, 14079, 14451, 14552, 14865, 15055, 15181, 15431, 16256, 16356, 16832, 17053, 17398, 17498, 17653, 17848, 18097, 18212, 18321, 18588, 18774, 18905, 19032, 19132, 19296, 19419, 19567, 19780, 20017, 20133, 20233, 20336, 20620, 20720, 20841, 20983, 21105, 21205, 21305, 21451, 21581, 21731, 21831, 21931, 22033, 22147, 22247, 22350, 22474, 22648, 22748, 22863, 22994, 23094, 23228, 23328, 23428, 23528, 23629, 23746, 23904, 24037, 24137, 24273, 24509, 24672, 24772, 24872, 24972, 25164, 25264, 25380, 25503, 25603, 25844, 25948, 26048, 26148, 26248, 26384, 26493, 26593, 26693, 26863, 27100, 27599, 27777, 27904, 28065, 28343, 28636, 28940, 29070, 29211, 29392, 29540, 29843, 29943, 30163, 30362, 30483, 30589, 30689, 30823, 30925, 31149, 31262, 31401, 31501, 31601, 31701, 31911, 32068, 32265, 32446, 32766, 32975, 33148, 33248, 33436, 33578, 33823, 34289, 34447, 34665, 35066, 35215, 35761, 35973, 36111, 36231, 36358, 36706, 36806, 37230, 37587, 37687, 37825, 37931, 38114, 38301, 38401, 38524, 38680, 38801, 39182, 39380, 39570, 39676, 40018, 40118, 40219, 40320, 40476, 40654, 40754, 40933, 41142, 41359, 41710, 41832, 42124, 42230, 42409, 42597, 42758, 42949, 43459, 43624, 43781, 43891, 44062, 44165, 44551, 44651, 44754, 44854, 44956, 45204, 45443, 45578, 45743, 46093, 46207, 46357, 47086, 47233, 47754, 47880, 48006, 48253, 48353, 48525, 48625, 48732, 48832, 48932, 49056, 49156, 49256, 49465, 49565, 49716, 49899, 50065, 50220, 50339, 50538, 50728, 50902, 51059, 51173, 51273, 51373, 51483, 51583, 51690, 51812, 51912, 52039, 52139, 52262, 52427, 52527, 52627, 52727, 52827, 52927, 53057, 53158, 53304, 53404, 53504, 53674, 53968, 54268, 54368, 54517, 54799, 54903, 55227, 55374, 55506, 55612, 55815, 56043, 56279, 56544, 56748, 56971, 57071, 57171, 57271, 57382, 57531, 57642, 57761, 57999, 58290, 58390, 58545, 58713, 58813, 59027, 59143, 59243, 59511, 59616, 59716, 59816, 59916, 60325, 60486, 60626, 60944, 61054, 61154, 61322, 61563, 61861, 62329, 62429, 62627, 63060, 63377, 63643, 63747, 64034, 64262, 64365, 64629, 64731, 64831, 65041, 65330, 65593, 65838, 66013, 66205, 66346, 66812, 66952, 67198, 67430, 67658, 67878, 68339, 68464, 68567, 68770, 69103, 69734, 70025, 70227, 70780, 71024, 71124, 71224, 71330, 71572, 71817, 71939, 72039, 72139, 72351, 72517, 72748, 72933, 73044, 73229, 73491, 73608, 73915, 74131, 74370, 74479, 74579, 74687, 74857, 75048, 75192, 75292, 75392, 75492, 75592, 75692, 75834, 75934, 76080, 76180, 76280, 76380, 76480, 76596, 76696, 76868, 76968, 77073, 77264, 77364, 77464, 77631, 77742, 77858, 77958, 78136, 78240, 78430, 78530, 78735, 78835, 78935, 79168, 79321, 79421, 79524, 79624, 79724, 79856, 79956]"
1663464622,2,100,0.005,0.002254891704111619,0.0022658393526506426,0.2430205663561918,0.24570857035694194,0.6782146652497343,0.6830155654185159,0.21390692847409307,0.2146294933452455,0.6680793570188515,0.6725147435597926,8.556068743286788,419.2473684210526,49.0,0.0,"[321, 779, 1365, 1487, 2047, 2212, 2419, 3655, 3758, 3890, 4015, 4555, 4910, 5752, 6440, 6690, 6968, 7416, 7602, 7890, 9167, 10082, 10586, 11042, 11186, 12152, 12629, 13304, 14515, 17482, 18349, 18596, 18797, 19045, 19656, 20149, 20639, 21112, 21353, 21480, 21744, 21846, 22173, 22365, 22503, 22722, 23011, 23303, 23403, 23531, 23936, 24121, 24318, 24568, 24690, 24866, 24966, 25174, 25556, 25675, 25867, 26030, 26235, 26418, 26518, 26618, 26718, 26885, 27132, 28100, 29213, 29591, 29933, 30177, 30486, 30644, 30881, 31300, 31469, 31571, 31693, 32113, 32275, 32775, 33189, 33832, 34457, 35785, 37967, 38334, 38874, 39645, 40111, 40243, 40537, 40694, 41385, 41719, 42831, 42958, 43478, 44600, 44851, 46384, 47240, 48259, 48390, 48525, 48625, 48752, 48940, 49093, 49193, 49498, 49755, 50933, 51079, 51179, 51279, 51517, 51772, 51872, 52051, 52151, 52458, 52564, 52825, 52944, 53074, 53200, 53312, 53412, 53512, 54347, 54585, 55411, 55872, 56079, 57049, 57225, 57765, 58001, 58298, 58783, 59033, 59143, 59246, 59524, 59647, 59854, 60329, 60957, 61137, 62646, 63084, 64071, 64374, 64644, 64767, 67453, 71233, 71953, 72053, 72594, 73060, 73965, 74180, 74370, 74534, 75335, 75580, 75684, 75931, 76081, 76280, 76454, 76621, 76721, 76889, 76989, 77332, 77438, 77904, 78169, 78277, 78453, 78861, 79182, 79338, 79439, 79585, 79712, 79978]"
1663465572,2,250,0.05,0.02677001937863349,0.026402450459461147,0.2430205663561918,0.24570857035694194,0.6445708570356942,0.6417453272488591,0.21390692847409307,0.2146294933452455,0.6294839621804953,0.6271812152848205,57.40852713178295,6171.416666666667,107.5,0.0,"[3855, 23203, 23464, 25674, 26569, 26819, 49100, 49350, 52203, 53056, 53328, 53578, 75552, 76765, 77912]"
1663467132,2,250,0.005,0.040156279302369195,0.03859098580983934,0.2430205663561918,0.24570857035694194,0.6445833593798838,0.6316184284553353,0.21390692847409307,0.2146294933452455,0.6303841082605218,0.6180613303352697,60.53029460811562,7778.142857142857,128.5,0.0,"[23485, 26582, 26832, 49121, 49371, 53064, 53357, 53607, 76796, 77932]"
1663468720,2,500,0.05,0.050129711820966434,0.04828561605300993,0.2430205663561918,0.24570857035694194,0.6440582609239233,0.6319934987810214,0.21390692847409307,0.2146294933452455,0.6279505571896522,0.6184985264541808,52.52610837438424,10662.8,203.0,0.0,"[23469, 26592, 27092, 49244, 52480, 53246, 53746, 76783]"
1663470656,2,500,0.005,0.06655414556896085,0.06337855014481882,0.2430205663561918,0.24570857035694194,0.6423454397699568,0.6259798712258549,0.21390692847409307,0.2146294933452455,0.6266588450746077,0.6137259479907747,510.6769230769231,16597.0,32.5,0.0,"[26594, 27094, 49244, 53403, 53903, 76885]"
1663472624,2,1000,0.05,0.05749470882933407,0.05452629510890434,0.2430205663561918,0.24570857035694194,0.6454835281615303,0.6273926361192723,0.21390692847409307,0.2146294933452455,0.6310013821139057,0.6151070051416839,40.51365705614568,13349.25,329.5,0.0,"[23887, 26617, 27617, 50003, 52974, 53974, 77284]"
1663475322,2,1000,0.005,0.10025629805588547,0.09277051947240109,0.2430205663561918,0.24570857035694194,0.6440457585797337,0.6167906482465463,0.21390692847409307,0.2146294933452455,0.6292896643482797,0.6053769749371847,308.951724137931,22399.0,72.5,0.0,"[26649, 27649, 50048, 53428]"
1663478101,3,100,0.05,0.0009600919115065352,0.0009839399953570588,0.2430205663561918,0.24570857035694194,0.6789022941801588,0.6924173282490467,0.21390692847409307,0.2146294933452455,0.6760270142623362,0.6893804318878441,5.441378134061061,176.84478935698448,32.5,0.0,"[199, 301, 455, 559, 694, 967, 1166, 1286, 1422, 1667, 2033, 2139, 2239, 2387, 2572, 2810, 2983, 3083, 3183, 3283, 3391, 3491, 3655, 3755, 3866, 4011, 4216, 4337, 4493, 4620, 4734, 4841, 4941, 5041, 5150, 5359, 5594, 5703, 5803, 5929, 6090, 6190, 6309, 6409, 6681, 6781, 6957, 7168, 7381, 7501, 7601, 7767, 7867, 8181, 8551, 8709, 8843, 9124, 9483, 9583, 9711, 10007, 10308, 10571, 10790, 11015, 11115, 11405, 11655, 11909, 12050, 12150, 12626, 12726, 13048, 13152, 13298, 13450, 13641, 13979, 14079, 14451, 14552, 14865, 15141, 15431, 16256, 16356, 16832, 17053, 17400, 17500, 17653, 17848, 18097, 18212, 18321, 18588, 18775, 18905, 19032, 19132, 19296, 19419, 19567, 19780, 20017, 20133, 20233, 20336, 20620, 20720, 20841, 20983, 21105, 21205, 21305, 21451, 21581, 21731, 21831, 21931, 22033, 22147, 22247, 22351, 22474, 22648, 22748, 22994, 23094, 23228, 23328, 23428, 23528, 23630, 23808, 23908, 24037, 24137, 24285, 24509, 24672, 24772, 24872, 24972, 25164, 25264, 25380, 25503, 25603, 25844, 25948, 26048, 26149, 26249, 26384, 26493, 26593, 26693, 26863, 27101, 27677, 27904, 28065, 28344, 28636, 28940, 29070, 29211, 29392, 29540, 29844, 29944, 30163, 30362, 30483, 30589, 30689, 30823, 30925, 31149, 31262, 31401, 31501, 31601, 31701, 31911, 32068, 32265, 32446, 32766, 32989, 33148, 33248, 33436, 33578, 33823, 34289, 34448, 34666, 35066, 35215, 35761, 35974, 36111, 36231, 36358, 36709, 36809, 37230, 37587, 37687, 37825, 37931, 38114, 38302, 38402, 38524, 38680, 38801, 39183, 39380, 39570, 39676, 40022, 40122, 40242, 40476, 40654, 40754, 40933, 41142, 41362, 41710, 41832, 42124, 42230, 42409, 42598, 42758, 42949, 43459, 43625, 43781, 43891, 44062, 44165, 44551, 44651, 44755, 44855, 44956, 45204, 45443, 45578, 45743, 46093, 46207, 46358, 47086, 47233, 47755, 47880, 48006, 48253, 48353, 48525, 48625, 48732, 48832, 48932, 49062, 49162, 49301, 49465, 49565, 49716, 49899, 50066, 50221, 50339, 50539, 50730, 50902, 51060, 51173, 51273, 51373, 51484, 51584, 51694, 51812, 51912, 52039, 52139, 52262, 52427, 52527, 52627, 52727, 52827, 52927, 53064, 53188, 53304, 53404, 53504, 53675, 53968, 54269, 54369, 54517, 54828, 54928, 55228, 55374, 55506, 55614, 55815, 56045, 56282, 56544, 56748, 56971, 57071, 57171, 57271, 57382, 57533, 57642, 57761, 57999, 58290, 58390, 58545, 58713, 58813, 59027, 59143, 59243, 59515, 59616, 59717, 59817, 59917, 60325, 60486, 60626, 60945, 61054, 61154, 61322, 61563, 61861, 62329, 62429, 62627, 63060, 63390, 63643, 63747, 64034, 64262, 64372, 64629, 64731, 64831, 65042, 65330, 65593, 65838, 66013, 66213, 66346, 66812, 66952, 67199, 67431, 67658, 67878, 68339, 68464, 68568, 68770, 69103, 69734, 70025, 70227, 70780, 71024, 71124, 71224, 71330, 71572, 71817, 71939, 72039, 72139, 72352, 72517, 72749, 72934, 73047, 73229, 73491, 73608, 73915, 74138, 74370, 74479, 74579, 74688, 74857, 75049, 75192, 75292, 75392, 75521, 75621, 75721, 75834, 75934, 76080, 76180, 76280, 76380, 76480, 76596, 76696, 76868, 76968, 77073, 77264, 77364, 77464, 77631, 77742, 77858, 77958, 78136, 78240, 78430, 78530, 78782, 78882, 79168, 79321, 79421, 79524, 79624, 79724, 79856, 79956]"
1663478830,3,100,0.005,0.0022815141713416814,0.002291921881949724,0.2430205663561918,0.24570857035694194,0.6787897730824529,0.6834656498093392,0.21390692847409307,0.2146294933452455,0.6685799598370076,0.672923210268895,8.647199305254016,423.7127659574468,49.0,0.0,"[321, 783, 1365, 1488, 2047, 2212, 2419, 3655, 3759, 3890, 4015, 4555, 4910, 5752, 6440, 6690, 6968, 7426, 7602, 7890, 9168, 10082, 10586, 11042, 11186, 12152, 12629, 13304, 14515, 17482, 18349, 18596, 18798, 19045, 19656, 20151, 20639, 21112, 21353, 21480, 21744, 21846, 22173, 22365, 22503, 22722, 23011, 23303, 23403, 23533, 23942, 24121, 24318, 24568, 24692, 24866, 24966, 25174, 25557, 25682, 25867, 26030, 26235, 26418, 26518, 26618, 26718, 26885, 27132, 28100, 29213, 29591, 29933, 30177, 30486, 30644, 30881, 31300, 31469, 31571, 31694, 32113, 32275, 32778, 33192, 34458, 35785, 37967, 38334, 38874, 39645, 40111, 40243, 40537, 40694, 41385, 41719, 42958, 43478, 44600, 44851, 46384, 47240, 48259, 48390, 48525, 48625, 48752, 48940, 49093, 49193, 49498, 49755, 50944, 51079, 51179, 51279, 51517, 51772, 51872, 52051, 52151, 52458, 52564, 52825, 52944, 53074, 53200, 53312, 53412, 53512, 54347, 54585, 55411, 55873, 56079, 57049, 57225, 57765, 58001, 58298, 58783, 59033, 59143, 59246, 59525, 59647, 59854, 60329, 60957, 61138, 62646, 63084, 64071, 64374, 64644, 64767, 67453, 71233, 71954, 72054, 72596, 73060, 73965, 74180, 74371, 74534, 75335, 75580, 75684, 75931, 76081, 76280, 76454, 76623, 76723, 76889, 76989, 77332, 77438, 77904, 78169, 78277, 78454, 78861, 79182, 79338, 79441, 79585, 79712, 79979]"
1663479975,3,250,0.05,0.02676835239940822,0.026400783480235876,0.2430205663561918,0.24570857035694194,0.6445458523473151,0.6417203225604801,0.21390692847409307,0.2146294933452455,0.6294699233083244,0.6271392167082467,57.14274691358025,6171.416666666667,108.0,0.0,"[3855, 23204, 23464, 25674, 26569, 26819, 49100, 49350, 52203, 53056, 53329, 53579, 75552, 76780, 77912]"
1663481803,3,250,0.005,0.040156279302369195,0.03859098580983934,0.2430205663561918,0.24570857035694194,0.6445833593798838,0.6316184284553353,0.21390692847409307,0.2146294933452455,0.6303841082605218,0.6180613303352697,60.53029460811562,7778.142857142857,128.5,0.0,"[23485, 26582, 26832, 49121, 49371, 53064, 53357, 53607, 76799, 77932]"
1663483726,3,500,0.05,0.050129711820966434,0.04828561605300993,0.2430205663561918,0.24570857035694194,0.6440582609239233,0.6319934987810214,0.21390692847409307,0.2146294933452455,0.6279447715170908,0.6184942740783814,52.54384236453202,10666.4,203.0,0.0,"[23469, 26592, 27092, 49244, 52481, 53246, 53746, 76801]"
1663486045,3,500,0.005,0.07980496343064324,0.07504657123210601,0.2430205663561918,0.24570857035694194,0.642045383509408,0.620941426517472,0.21390692847409307,0.2146294933452455,0.6264120587882734,0.6093611571059838,412.4461538461538,13404.5,32.5,0.0,"[26594, 27094, 49244, 53403, 53903]"
1663488409,3,1000,0.05,0.057489350681824265,0.054510220666374946,0.2430205663561918,0.24570857035694194,0.6454460211289617,0.6272801150215666,0.21390692847409307,0.2146294933452455,0.6309719072591181,0.6150093846824045,40.5174506828528,13350.5,329.5,0.0,"[23897, 26617, 27617, 50005, 52974, 53974, 77299]"
1663491615,3,1000,0.005,0.1004438332187285,0.09277989623054322,0.2430205663561918,0.24570857035694194,0.6447958992311058,0.6168281552791148,0.21390692847409307,0.2146294933452455,0.6300452465043976,0.6054454553069158,281.748427672956,22399.0,79.5,0.0,"[26649, 27649, 50048, 53442]"
1663494916,2,100,0.05,0.0009500416699310159,0.000972616863478496,0.2430205663561918,0.24570857035694194,0.6781396511845971,0.6911670938300931,0.21390692847409307,0.2146294933452455,0.6754386154132885,0.6882237898679394,5.3935418427726125,175.2901098901099,32.5,0.0,"[199, 299, 455, 559, 694, 967, 1166, 1285, 1422, 1667, 2033, 2139, 2239, 2373, 2572, 2808, 2983, 3083, 3183, 3283, 3391, 3491, 3655, 3755, 3866, 4011, 4215, 4337, 4492, 4620, 4734, 4836, 4936, 5036, 5150, 5359, 5594, 5703, 5803, 5929, 6090, 6190, 6309, 6409, 6680, 6780, 6957, 7168, 7381, 7501, 7601, 7767, 7867, 8180, 8551, 8709, 8840, 9124, 9483, 9583, 9711, 10004, 10308, 10571, 10787, 11015, 11115, 11403, 11655, 11909, 12050, 12150, 12620, 12720, 13048, 13152, 13298, 13431, 13641, 13979, 14079, 14451, 14552, 14865, 15055, 15181, 15431, 16256, 16356, 16832, 17053, 17398, 17498, 17653, 17848, 18097, 18212, 18321, 18588, 18774, 18905, 19032, 19132, 19296, 19419, 19567, 19780, 20017, 20133, 20233, 20336, 20620, 20720, 20841, 20983, 21105, 21205, 21305, 21451, 21581, 21731, 21831, 21931, 22033, 22147, 22247, 22350, 22474, 22648, 22748, 22994, 23094, 23228, 23328, 23428, 23528, 23629, 23746, 23904, 24037, 24137, 24273, 24509, 24672, 24772, 24872, 24972, 25164, 25264, 25380, 25503, 25603, 25844, 25948, 26048, 26148, 26248, 26384, 26493, 26593, 26693, 26863, 27100, 27599, 27777, 27904, 28065, 28343, 28636, 28940, 29070, 29211, 29392, 29540, 29843, 29943, 30163, 30362, 30483, 30589, 30689, 30823, 30925, 31149, 31262, 31401, 31501, 31601, 31701, 31911, 32068, 32265, 32446, 32766, 32975, 33148, 33248, 33436, 33578, 33823, 34289, 34447, 34665, 35066, 35215, 35761, 35973, 36111, 36231, 36358, 36706, 36806, 37230, 37587, 37687, 37825, 37931, 38114, 38301, 38401, 38524, 38680, 38801, 39182, 39380, 39570, 39676, 40018, 40118, 40219, 40320, 40476, 40654, 40754, 40933, 41142, 41359, 41710, 41832, 42124, 42230, 42409, 42597, 42758, 42949, 43459, 43624, 43781, 43891, 44062, 44165, 44551, 44651, 44753, 44853, 44956, 45204, 45443, 45578, 45743, 46093, 46207, 46357, 47086, 47233, 47754, 47880, 48006, 48253, 48353, 48525, 48625, 48732, 48832, 48932, 49056, 49156, 49256, 49465, 49565, 49716, 49899, 50065, 50220, 50339, 50538, 50728, 50902, 51059, 51173, 51273, 51373, 51483, 51583, 51690, 51812, 51912, 52039, 52139, 52262, 52427, 52527, 52627, 52727, 52827, 52927, 53057, 53158, 53304, 53404, 53504, 53639, 53968, 54268, 54368, 54517, 54799, 54903, 55227, 55374, 55506, 55612, 55815, 56043, 56279, 56544, 56748, 56971, 57071, 57171, 57271, 57382, 57531, 57642, 57761, 57999, 58290, 58390, 58545, 58713, 58813, 59027, 59143, 59243, 59511, 59616, 59716, 59816, 59916, 60325, 60486, 60626, 60944, 61054, 61154, 61322, 61563, 61861, 62329, 62429, 62627, 63060, 63377, 63643, 63747, 64034, 64262, 64365, 64629, 64731, 64831, 65041, 65330, 65593, 65838, 66013, 66205, 66346, 66812, 66952, 67198, 67430, 67658, 67878, 68339, 68464, 68567, 68770, 69103, 69734, 70025, 70227, 70780, 71024, 71124, 71224, 71330, 71572, 71817, 71939, 72039, 72139, 72351, 72517, 72748, 72933, 73044, 73229, 73491, 73608, 73915, 74131, 74370, 74479, 74579, 74687, 74857, 75048, 75192, 75292, 75392, 75492, 75592, 75692, 75833, 75933, 76080, 76180, 76280, 76380, 76480, 76596, 76696, 76868, 76968, 77073, 77264, 77364, 77464, 77631, 77742, 77858, 77958, 78136, 78240, 78430, 78530, 78735, 78835, 78935, 79168, 79321, 79421, 79524, 79624, 79724, 79856, 79956]"
1663495544,2,100,0.005,0.0022549564830970574,0.0022657745736652047,0.2430205663561918,0.24570857035694194,0.6782271675939239,0.6830030630743265,0.21390692847409307,0.2146294933452455,0.6681062030561621,0.6725082518870883,8.556068743286788,419.2473684210526,49.0,0.0,"[321, 779, 1365, 1487, 2047, 2212, 2419, 3655, 3758, 3890, 4015, 4555, 4910, 5752, 6440, 6690, 6968, 7416, 7602, 7890, 9167, 10082, 10586, 11042, 11186, 12152, 12629, 13304, 14515, 17482, 18349, 18596, 18797, 19045, 19656, 20149, 20639, 21112, 21353, 21480, 21744, 21846, 22173, 22365, 22503, 22722, 23011, 23303, 23403, 23531, 23936, 24121, 24318, 24568, 24690, 24866, 24966, 25174, 25556, 25675, 25867, 26030, 26235, 26418, 26518, 26618, 26718, 26885, 27132, 28100, 29213, 29591, 29933, 30177, 30486, 30644, 30881, 31300, 31469, 31571, 31693, 32113, 32275, 32775, 33192, 33832, 34457, 35785, 37967, 38334, 38874, 39645, 40111, 40243, 40537, 40694, 41385, 41719, 42831, 42958, 43478, 44600, 44851, 46384, 47240, 48259, 48390, 48525, 48625, 48752, 48940, 49093, 49193, 49498, 49755, 50933, 51079, 51179, 51279, 51517, 51772, 51872, 52051, 52151, 52458, 52564, 52825, 52944, 53074, 53200, 53312, 53412, 53512, 54347, 54585, 55411, 55872, 56079, 57049, 57225, 57765, 58001, 58298, 58783, 59033, 59143, 59246, 59524, 59647, 59854, 60329, 60957, 61137, 62646, 63084, 64071, 64374, 64644, 64767, 67453, 71233, 71953, 72053, 72594, 73060, 73965, 74180, 74370, 74534, 75335, 75580, 75684, 75931, 76081, 76280, 76454, 76621, 76721, 76889, 76989, 77332, 77438, 77904, 78169, 78277, 78453, 78861, 79182, 79338, 79439, 79585, 79712, 79978]"
1663496527,2,250,0.05,0.02677001937863349,0.026402450459461147,0.2430205663561918,0.24570857035694194,0.6445708570356942,0.6417453272488591,0.21390692847409307,0.2146294933452455,0.6294839621804953,0.6271812152848205,57.40852713178295,6171.416666666667,107.5,0.0,"[3855, 23203, 23464, 25674, 26569, 26819, 49100, 49350, 52203, 53056, 53328, 53578, 75552, 76765, 77912]"
1663498115,2,250,0.005,0.040156279302369195,0.03859098580983934,0.2430205663561918,0.24570857035694194,0.6445833593798838,0.6316184284553353,0.21390692847409307,0.2146294933452455,0.6303841082605218,0.6180613303352697,60.53029460811562,7778.142857142857,128.5,0.0,"[23485, 26582, 26832, 49121, 49371, 53064, 53357, 53607, 76796, 77932]"
1663499707,2,500,0.05,0.050129711820966434,0.04828561605300993,0.2430205663561918,0.24570857035694194,0.6440582609239233,0.6319934987810214,0.21390692847409307,0.2146294933452455,0.6279505571896522,0.6184985264541808,52.52610837438424,10662.8,203.0,0.0,"[23469, 26592, 27092, 49244, 52480, 53246, 53746, 76783]"
1663501674,2,500,0.005,0.06655414556896085,0.06337855014481882,0.2430205663561918,0.24570857035694194,0.6423454397699568,0.6259798712258549,0.21390692847409307,0.2146294933452455,0.6266588450746077,0.6137259479907747,510.6769230769231,16597.0,32.5,0.0,"[26594, 27094, 49244, 53403, 53903, 76885]"
1663503643,2,1000,0.05,0.05749470882933407,0.05452629510890434,0.2430205663561918,0.24570857035694194,0.6454835281615303,0.6273926361192723,0.21390692847409307,0.2146294933452455,0.6310013821139057,0.6151070051416839,40.51365705614568,13349.25,329.5,0.0,"[23887, 26617, 27617, 50003, 52974, 53974, 77284]"
1663506314,2,1000,0.005,0.10025629805588547,0.09277051947240109,0.2430205663561918,0.24570857035694194,0.6440457585797337,0.6167906482465463,0.21390692847409307,0.2146294933452455,0.6292896643482797,0.6053769749371847,308.951724137931,22399.0,72.5,0.0,"[26649, 27649, 50048, 53428]"
