seed,n_clusters,n_samples,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1669749158,2,250,0.05,0.0018656508615408605,0.0016623784542386458,0.13877100945634377,0.1384702776756775,0.1611588197948341,0.15841881912654124,0.0892377551095781,0.08895355234185419,0.11831061027774298,0.11484461651055304,"[5250, 5500, 5750, 6000, 6496, 6765, 14561, 14811, 17941, 23318, 23568, 26638]"
1669749630,2,250,0.005,0.0030206836635813805,0.002953854378988874,0.13877100945634377,0.1384702776756775,0.15387442777425067,0.15323954957062186,0.0892377551095781,0.08895355234185419,0.10729663143718804,0.10649417244577464,"[5266, 5699, 6598, 14710, 23428]"
1669750130,2,500,0.05,0.001866446448262199,0.0017232408384211092,0.13877100945634377,0.1384702776756775,0.15183613459417916,0.15053296354462525,0.0892377551095781,0.08895355234185419,0.10608758012845554,0.10428336276714732,"[3451, 5275, 6128, 6668, 13882, 14882, 23629]"
1669751458,2,500,0.005,0.0031008788050923943,0.0030607812343368844,0.13877100945634377,0.1384702776756775,0.15427540348180574,0.1537741838473619,0.0892377551095781,0.08895355234185419,0.10815522003286003,0.10795168613452143,"[5316, 6173, 6760, 14914, 23715]"
1669752829,2,1000,0.05,0.005390895623795679,0.004934228845746874,0.13877100945634377,0.1384702776756775,0.1549436963277308,0.1532729642129181,0.0892377551095781,0.08895355234185419,0.10954172939302846,0.10732705585144457,"[3504, 5301, 7338]"
1669754416,2,1000,0.005,0.021652688207972726,0.021318541785010192,0.13877100945634377,0.1384702776756775,0.1604236976643165,0.15978881946068768,0.0892377551095781,0.08895355234185419,0.11253266320276346,0.11168409116200605,[7411]
1669756049,3,100,0.05,0.0008111692474676885,0.0006060724775113691,0.13877100945634377,0.1384702776756775,0.16229491763290674,0.1560463795235072,0.0892377551095781,0.08895355234185419,0.12181552738119172,0.11510976414749179,"[475, 2231, 3056, 3310, 4031, 5241, 5341, 5441, 5658, 6467, 10023, 11718, 12418, 13826, 14396, 14513, 14652, 15582, 16244, 17969, 18478, 18609, 20613, 20996, 23299, 23481, 25345, 26504, 27174]"
1669756579,3,100,0.005,0.0015203662244795656,0.0012071039529521835,0.13877100945634377,0.1384702776756775,0.1509339392521803,0.14812710929929496,0.0892377551095781,0.08895355234185419,0.10921221278061444,0.10561280360865281,"[5243, 5343, 5443, 6496, 13831, 14558, 21024, 27188]"
1669757150,3,250,0.05,0.002042470010358538,0.0019380492531827428,0.13877100945634377,0.1384702776756775,0.15511076953921207,0.15397467170113943,0.0892377551095781,0.08895355234185419,0.10969234256303569,0.10814871264082555,"[5251, 5679, 5978, 6499, 6765, 14585, 14835, 23409]"
1669757905,3,250,0.005,0.002853610452100108,0.0027667323821298495,0.13877100945634377,0.1384702776756775,0.1530390617168443,0.15230393958632674,0.0892377551095781,0.08895355234185419,0.10682047259218795,0.10570598079729754,"[5266, 5707, 6623, 14722, 23435]"
1669758688,3,500,0.05,0.0020438622871208852,0.0018767890756396094,0.13877100945634377,0.1384702776756775,0.15103418317906908,0.14973101212951515,0.0892377551095781,0.08895355234185419,0.10504599321527784,0.1035741530609142,"[3463, 5283, 6135, 6670, 14889, 23651]"
1669760572,3,500,0.005,0.005502277764783191,0.005168131341820648,0.13877100945634377,0.1384702776756775,0.15527784275069334,0.15397467170113943,0.0892377551095781,0.08895355234185419,0.1100287348242609,0.10825215890828177,"[5321, 6765, 14922]"
1669762550,3,1000,0.05,0.005101302057228141,0.00487853777525311,0.13877100945634377,0.1384702776756775,0.1540749156280282,0.15310589100143682,0.0892377551095781,0.08895355234185419,0.10869162913250811,0.1076094670929094,"[3642, 5307, 7338]"
1669764983,3,1000,0.005,0,0,0.13877100945634377,0.1384702776756775,0.16135930764861162,0.16105857586794534,0.0892377551095781,0.08895355234185419,0.10792494771562246,0.10758270545793992,[]
1669767591,2,100,0.05,0.0007103306217171464,0.0005389458434879706,0.13877100945634377,0.1384702776756775,0.1607912587295753,0.15517759882380458,0.0892377551095781,0.08895355234185419,0.11972241063517265,0.11452430692518623,"[458, 2230, 3051, 3296, 3536, 4031, 4684, 5172, 5272, 5429, 5646, 6464, 10022, 11712, 12418, 13816, 14363, 14509, 14651, 15582, 16244, 17957, 18478, 18608, 20612, 20996, 23276, 23468, 25340, 26493, 27174]"
1669768001,2,100,0.005,0.0015671467236943238,0.001233000300731779,0.13877100945634377,0.1384702776756775,0.154442476693287,0.15080028068299528,0.0892377551095781,0.08895355234185419,0.11228801808348154,0.10765220297156229,"[5243, 5343, 5443, 5664, 6496, 13831, 14553, 21023, 26550, 27188]"
1669768436,2,250,0.05,0.0018656508615408605,0.0016623784542386458,0.13877100945634377,0.1384702776756775,0.1611588197948341,0.15841881912654124,0.0892377551095781,0.08895355234185419,0.11831061027774298,0.11484461651055304,"[5250, 5500, 5750, 6000, 6496, 6765, 14561, 14811, 17941, 23318, 23568, 26638]"
1669768911,2,250,0.005,0.0030206836635813805,0.002953854378988874,0.13877100945634377,0.1384702776756775,0.15387442777425067,0.15323954957062186,0.0892377551095781,0.08895355234185419,0.10729663143718804,0.10649417244577464,"[5266, 5699, 6598, 14710, 23428]"
1669769413,2,500,0.05,0.0018616729279341629,0.0017232408384211092,0.13877100945634377,0.1384702776756775,0.1518027199518829,0.15053296354462525,0.0892377551095781,0.08895355234185419,0.10604102833204813,0.10433562949519526,"[3451, 5274, 6128, 6668, 13882, 14882, 23629]"
1669770736,2,500,0.005,0.0031008788050923943,0.0030607812343368844,0.13877100945634377,0.1384702776756775,0.15427540348180574,0.1537741838473619,0.0892377551095781,0.08895355234185419,0.10815522003286003,0.10795168613452143,"[5316, 6173, 6760, 14914, 23715]"
1669772151,2,1000,0.05,0.005390895623795679,0.004934228845746874,0.13877100945634377,0.1384702776756775,0.1549436963277308,0.1532729642129181,0.0892377551095781,0.08895355234185419,0.10954172939302846,0.10732705585144457,"[3504, 5301, 7338]"
1669773997,2,1000,0.005,0.021652688207972726,0.021318541785010192,0.13877100945634377,0.1384702776756775,0.1604236976643165,0.15978881946068768,0.0892377551095781,0.08895355234185419,0.11253266320276346,0.11168409116200605,[7411]
1669775957,3,100,0.05,0.0008100170184229901,0.0006060724775113691,0.13877100945634377,0.1384702776756775,0.16226150299061048,0.1560463795235072,0.0892377551095781,0.08895355234185419,0.12178878975987374,0.11510497300947158,"[475, 2231, 3056, 3310, 4031, 5241, 5341, 5441, 5658, 6467, 10023, 11718, 12418, 13826, 14395, 14513, 14652, 15582, 16244, 17969, 18478, 18609, 20613, 20996, 23299, 23481, 25345, 26504, 27174]"
1669776504,3,100,0.005,0.0015537808667758224,0.0012238112741003102,0.13877100945634377,0.1384702776756775,0.15120125639055035,0.14826076786847997,0.0892377551095781,0.08895355234185419,0.1095941618541368,0.10570269105931396,"[5243, 5343, 5443, 6500, 13831, 14558, 21024, 27188]"
1669777093,3,250,0.05,0.002042470010358538,0.0019380492531827428,0.13877100945634377,0.1384702776756775,0.15511076953921207,0.15397467170113943,0.0892377551095781,0.08895355234185419,0.10969234256303569,0.10814871264082555,"[5251, 5679, 5978, 6499, 6765, 14585, 14835, 23409]"
1669777828,3,250,0.005,0.002860293380559359,0.0027734153105891,0.13877100945634377,0.1384702776756775,0.15307247635914056,0.152337354228623,0.0892377551095781,0.08895355234185419,0.10671856480793823,0.10562435083369537,"[5266, 5707, 6623, 14722, 23436]"
1669778570,3,500,0.05,0.0020438622871208852,0.0018767890756396094,0.13877100945634377,0.1384702776756775,0.15103418317906908,0.14973101212951515,0.0892377551095781,0.08895355234185419,0.10504599321527784,0.1035741530609142,"[3463, 5283, 6135, 6670, 14889, 23651]"
1669780096,3,500,0.005,0.005502277764783191,0.005168131341820648,0.13877100945634377,0.1384702776756775,0.15527784275069334,0.15397467170113943,0.0892377551095781,0.08895355234185419,0.1100287348242609,0.10825215890828177,"[5321, 6765, 14922]"
1669781739,3,1000,0.05,0.005034472772635634,0.004800570276561851,0.13877100945634377,0.1384702776756775,0.15387442777425067,0.15287198850536304,0.0892377551095781,0.08895355234185419,0.10853425657246148,0.10741908185337945,"[3642, 5308, 7338]"
1669784074,3,1000,0.005,0,0,0.13877100945634377,0.1384702776756775,0.16135930764861162,0.16105857586794534,0.0892377551095781,0.08895355234185419,0.10792494771562246,0.10758270545793992,[]
1669786610,2,100,0.05,0.0007103306217171464,0.0005389458434879706,0.13877100945634377,0.1384702776756775,0.1607912587295753,0.15517759882380458,0.0892377551095781,0.08895355234185419,0.11972241063517265,0.11452430692518623,"[458, 2230, 3051, 3296, 3536, 4031, 4684, 5172, 5272, 5429, 5646, 6464, 10022, 11712, 12418, 13816, 14363, 14509, 14651, 15582, 16244, 17957, 18478, 18608, 20612, 20996, 23276, 23468, 25340, 26493, 27174]"
1669787017,2,100,0.005,0.0015671467236943238,0.001233000300731779,0.13877100945634377,0.1384702776756775,0.154442476693287,0.15080028068299528,0.0892377551095781,0.08895355234185419,0.11228801808348154,0.10765220297156229,"[5243, 5343, 5443, 5664, 6496, 13831, 14553, 21023, 26550, 27188]"
1669787455,2,250,0.05,0.0018656508615408605,0.0016623784542386458,0.13877100945634377,0.1384702776756775,0.1611588197948341,0.15841881912654124,0.0892377551095781,0.08895355234185419,0.11831061027774298,0.11484461651055304,"[5250, 5500, 5750, 6000, 6496, 6765, 14561, 14811, 17941, 23318, 23568, 26638]"
1669787928,2,250,0.005,0.0030206836635813805,0.002953854378988874,0.13877100945634377,0.1384702776756775,0.15387442777425067,0.15323954957062186,0.0892377551095781,0.08895355234185419,0.10729663143718804,0.10649417244577464,"[5266, 5699, 6598, 14710, 23428]"
1669788430,2,500,0.05,0.0018616729279341629,0.0017232408384211092,0.13877100945634377,0.1384702776756775,0.1518027199518829,0.15053296354462525,0.0892377551095781,0.08895355234185419,0.10604102833204813,0.10433562949519526,"[3451, 5274, 6128, 6668, 13882, 14882, 23629]"
1669789616,2,500,0.005,0.0031008788050923943,0.0030607812343368844,0.13877100945634377,0.1384702776756775,0.15427540348180574,0.1537741838473619,0.0892377551095781,0.08895355234185419,0.10815522003286003,0.10795168613452143,"[5316, 6173, 6760, 14914, 23715]"
1669790870,2,1000,0.05,0.005390895623795679,0.004934228845746874,0.13877100945634377,0.1384702776756775,0.1549436963277308,0.1532729642129181,0.0892377551095781,0.08895355234185419,0.10954172939302846,0.10732705585144457,"[3504, 5301, 7338]"
1669792511,2,1000,0.005,0.021652688207972726,0.021318541785010192,0.13877100945634377,0.1384702776756775,0.1604236976643165,0.15978881946068768,0.0892377551095781,0.08895355234185419,0.11253266320276346,0.11168409116200605,[7411]
1669794248,3,100,0.05,0.0008401395777343917,0.0006348782036288295,0.13877100945634377,0.1384702776756775,0.16229491763290674,0.15624686737728471,0.0892377551095781,0.08895355234185419,0.12159031799167393,0.11505715402518757,"[475, 2231, 3056, 3310, 4031, 5241, 5341, 5441, 5658, 6467, 10023, 11718, 12418, 13826, 14395, 14513, 14652, 15582, 16244, 17969, 18478, 20613, 20996, 23299, 23481, 25348, 26504, 27174]"
1669794777,3,100,0.005,0.0015537808667758224,0.0012238112741003102,0.13877100945634377,0.1384702776756775,0.15120125639055035,0.14826076786847997,0.0892377551095781,0.08895355234185419,0.1095941618541368,0.10570269105931396,"[5243, 5343, 5443, 6500, 13831, 14558, 21024, 27188]"
1669795338,3,250,0.05,0.002042470010358538,0.0019380492531827428,0.13877100945634377,0.1384702776756775,0.15511076953921207,0.15397467170113943,0.0892377551095781,0.08895355234185419,0.10969234256303569,0.10814871264082555,"[5251, 5679, 5978, 6499, 6765, 14585, 14835, 23409]"
1669796038,3,250,0.005,0.002860293380559359,0.0027734153105891,0.13877100945634377,0.1384702776756775,0.15307247635914056,0.152337354228623,0.0892377551095781,0.08895355234185419,0.10671856480793823,0.10562435083369537,"[5266, 5707, 6623, 14722, 23436]"
1669796762,3,500,0.05,0.0020438622871208852,0.0018767890756396094,0.13877100945634377,0.1384702776756775,0.15103418317906908,0.14973101212951515,0.0892377551095781,0.08895355234185419,0.10504599321527784,0.1035741530609142,"[3463, 5283, 6135, 6670, 14889, 23651]"
1669798155,3,500,0.005,0.005502277764783191,0.005168131341820648,0.13877100945634377,0.1384702776756775,0.15527784275069334,0.15397467170113943,0.0892377551095781,0.08895355234185419,0.1100287348242609,0.10825215890828177,"[5321, 6765, 14922]"
1669800841,3,1000,0.05,0.005101302057228141,0.00487853777525311,0.13877100945634377,0.1384702776756775,0.1540749156280282,0.15310589100143682,0.0892377551095781,0.08895355234185419,0.10869162913250811,0.1076094670929094,"[3642, 5307, 7338]"
1669804197,3,1000,0.005,0,0,0.13877100945634377,0.1384702776756775,0.16135930764861162,0.16105857586794534,0.0892377551095781,0.08895355234185419,0.10792494771562246,0.10758270545793992,[]
1669812784,2,100,0.05,0.0007103306217171464,0.0005389458434879706,0.13877100945634377,0.1384702776756775,0.1607912587295753,0.15517759882380458,0.0892377551095781,0.08895355234185419,0.11972241063517265,0.11452430692518623,"[458, 2230, 3051, 3296, 3536, 4031, 4684, 5172, 5272, 5429, 5646, 6464, 10022, 11712, 12418, 13816, 14363, 14509, 14651, 15582, 16244, 17957, 18478, 18608, 20612, 20996, 23276, 23468, 25340, 26493, 27174]"
1669813707,2,100,0.005,0.0015671467236943238,0.001233000300731779,0.13877100945634377,0.1384702776756775,0.154442476693287,0.15080028068299528,0.0892377551095781,0.08895355234185419,0.11228801808348154,0.10765220297156229,"[5243, 5343, 5443, 5664, 6496, 13831, 14553, 21023, 26550, 27188]"
1669814697,2,250,0.05,0.0018656508615408605,0.0016623784542386458,0.13877100945634377,0.1384702776756775,0.1611588197948341,0.15841881912654124,0.0892377551095781,0.08895355234185419,0.11831061027774298,0.11484461651055304,"[5250, 5500, 5750, 6000, 6496, 6765, 14561, 14811, 17941, 23318, 23568, 26638]"
1669815889,2,250,0.005,0.0030206836635813805,0.002953854378988874,0.13877100945634377,0.1384702776756775,0.15387442777425067,0.15323954957062186,0.0892377551095781,0.08895355234185419,0.10729663143718804,0.10649417244577464,"[5266, 5699, 6598, 14710, 23428]"
1669817051,2,500,0.05,0.001866446448262199,0.0017232408384211092,0.13877100945634377,0.1384702776756775,0.15183613459417916,0.15053296354462525,0.0892377551095781,0.08895355234185419,0.10608758012845554,0.10428336276714732,"[3451, 5275, 6128, 6668, 13882, 14882, 23629]"
1669821054,2,500,0.005,0.0031008788050923943,0.0030607812343368844,0.13877100945634377,0.1384702776756775,0.15427540348180574,0.1537741838473619,0.0892377551095781,0.08895355234185419,0.10815522003286003,0.10795168613452143,"[5316, 6173, 6760, 14914, 23715]"
1669825134,2,1000,0.05,0.005390895623795679,0.004934228845746874,0.13877100945634377,0.1384702776756775,0.1549436963277308,0.1532729642129181,0.0892377551095781,0.08895355234185419,0.10954172939302846,0.10732705585144457,"[3504, 5301, 7338]"
1669830154,2,1000,0.005,0.021652688207972726,0.021318541785010192,0.13877100945634377,0.1384702776756775,0.1604236976643165,0.15978881946068768,0.0892377551095781,0.08895355234185419,0.11253266320276346,0.11168409116200605,[7411]
1669835539,3,100,0.05,0.0008111692474676885,0.0006060724775113691,0.13877100945634377,0.1384702776756775,0.16229491763290674,0.1560463795235072,0.0892377551095781,0.08895355234185419,0.12181552738119172,0.11510976414749179,"[475, 2231, 3056, 3310, 4031, 5241, 5341, 5441, 5658, 6467, 10023, 11718, 12418, 13826, 14396, 14513, 14652, 15582, 16244, 17969, 18478, 18609, 20613, 20996, 23299, 23481, 25345, 26504, 27174]"
1669836671,3,100,0.005,0.0015537808667758224,0.0012238112741003102,0.13877100945634377,0.1384702776756775,0.15120125639055035,0.14826076786847997,0.0892377551095781,0.08895355234185419,0.1095941618541368,0.10570269105931396,"[5243, 5343, 5443, 6500, 13831, 14558, 21024, 27188]"
1669837921,3,250,0.05,0.002042470010358538,0.0019380492531827428,0.13877100945634377,0.1384702776756775,0.15511076953921207,0.15397467170113943,0.0892377551095781,0.08895355234185419,0.10969234256303569,0.10814871264082555,"[5251, 5679, 5978, 6499, 6765, 14585, 14835, 23409]"
1669839418,3,250,0.005,0.002853610452100108,0.0027667323821298495,0.13877100945634377,0.1384702776756775,0.1530390617168443,0.15230393958632674,0.0892377551095781,0.08895355234185419,0.10682047259218795,0.10570598079729754,"[5266, 5707, 6623, 14722, 23435]"
1669841014,3,500,0.05,0.0020438622871208852,0.0018767890756396094,0.13877100945634377,0.1384702776756775,0.15103418317906908,0.14973101212951515,0.0892377551095781,0.08895355234185419,0.10504599321527784,0.1035741530609142,"[3463, 5283, 6135, 6670, 14889, 23651]"
1669845540,3,500,0.005,0.005502277764783191,0.005168131341820648,0.13877100945634377,0.1384702776756775,0.15527784275069334,0.15397467170113943,0.0892377551095781,0.08895355234185419,0.1100287348242609,0.10825215890828177,"[5321, 6765, 14922]"
1669848388,3,1000,0.05,0.005101302057228141,0.00487853777525311,0.13877100945634377,0.1384702776756775,0.1540749156280282,0.15310589100143682,0.0892377551095781,0.08895355234185419,0.10869162913250811,0.1076094670929094,"[3642, 5307, 7338]"
1669850219,3,1000,0.005,0,0,0.13877100945634377,0.1384702776756775,0.16135930764861162,0.16105857586794534,0.0892377551095781,0.08895355234185419,0.10792494771562246,0.10758270545793992,[]
